ID,Descriçãodosalimentos,Energia,Prot.(A),Prot.(V),Gordura,Carbo,Fibra,Sódio
1,"Abacate,cru",96.15,0.00,1.24,8.40,6.03,6.31,0.000
2,"Abacaxi,cru",48.32,0.00,0.86,0.12,12.33,0.99,0.000
3,"Abacaxi,polpa,congelada",30.59,0.00,0.47,0.11,7.80,0.33,1.236
4,"Abadejo,filé,congelado,assado",111.62,23.53,0.00,1.24,0.00,0.00,334.391
5,"Abadejo,filé,congelado,grelhado",129.64,27.61,0.00,1.30,0.00,0.00,305.094
6,"Abadejo,filé,congelado,cozido",91.10,19.35,0.00,0.94,0.00,0.00,189.338
7,"Abiu,cru",62.42,0.83,0.00,0.70,14.93,1.70,0.000
8,"Abóbora,cabotian,cozida",48.04,0.00,1.44,0.73,10.76,2.46,1.452
9,"Abóbora,moranga,refogada",29.00,0.00,0.39,0.80,5.98,1.55,3.028
10,"Abóbora,pescoço,crua",24.47,0.00,0.67,0.12,6.12,2.30,0.745
11,"Abobrinha,italiana,cozida",15.04,0.00,1.13,0.20,2.98,1.59,0.833
12,"Abobrinha,italiana,crua",19.28,0.00,1.14,0.14,4.29,1.35,0.000
13,"Abobrinha,italiana,refogada",24.43,0.00,1.07,0.82,4.19,1.38,2.209
14,"Abobrinha,paulista,crua",30.81,0.00,0.64,0.14,7.87,2.61,0.501
15,"Açaí,polpa,comxaropedeguaranáeglucose",110.30,0.00,0.72,3.66,21.46,1.72,15.099
16,"Açaí,polpa,congelada",58.05,0.00,0.80,3.94,6.21,2.55,5.177
17,Acarajé,289.21,8.35,0.00,19.93,19.11,9.36,304.889
18,"Acelga,crua",20.94,0.00,1.44,0.11,4.63,1.12,1.181
19,"Acerola,crua",33.46,0.00,0.91,0.21,7.97,1.51,0.000
20,"Acerola,polpa,congelada",21.94,0.00,0.59,0.00,5.54,0.70,1.280
21,"Achocolatado,pó",401.02,4.20,0.00,2.17,91.18,3.89,64.787
22,"Açúcar,cristal",386.85,0.00,0.32,0.00,99.61,0.00,0.000
23,"Açúcar,mascavo",368.55,0.00,0.76,0.09,94.45,0.00,25.204
24,"Açúcar,refinado",386.57,0.00,0.32,0.00,99.54,0.00,12.160
25,"Agrião,cru",16.58,0.00,2.69,0.24,2.25,2.14,7.462
26,"Aipo,cru",19.09,0.00,0.76,0.07,4.27,0.96,9.516
27,"Alface,americana,crua",8.79,0.00,0.61,0.13,1.75,1.02,7.308
28,"Alface,crespa,crua",10.68,0.00,1.35,0.16,1.70,1.83,3.380
29,"Alface,lisa,crua",13.82,0.00,1.69,0.12,2.43,2.33,4.233
30,"Alface,roxa,crua",12.72,0.00,0.91,0.19,2.49,2.01,7.124
31,"Alfavaca,crua",29.18,0.00,2.66,0.48,5.24,4.14,4.550
32,"Alho,cru",113.13,0.00,7.01,0.22,23.91,4.32,5.360
33,"Alho-poró,cru",31.51,0.00,1.41,0.14,6.88,2.51,1.762
34,"Almeirão,cru",18.03,0.00,1.77,0.22,3.34,2.59,2.351
35,"Almeirão,refogado",65.08,0.00,1.70,4.85,5.70,3.43,14.515
36,"Ameixa,calda,enlatada",182.85,0.00,0.41,0.00,46.89,0.52,2.704
37,"Ameixa,crua",52.54,0.00,0.77,0.00,13.85,2.43,0.000
38,"Ameixa,emcalda,enlatada,drenada",177.36,0.00,1.03,0.28,47.66,4.55,2.790
39,"Amêndoa,torrada,salgada",580.75,0.00,18.55,47.32,29.55,11.64,278.523
40,AmendoimDuRio,544.05,0.00,26.00,49.33,7.33,8.67,0.000
41,AmendoimGranfino,544.05,0.00,30.00,41.33,10.00,3.33,0.000
42,"Amendoim,grão,cru",544.05,0.00,27.19,43.85,20.31,8.04,0.000
43,"Amendoim,torrado,salgado",605.78,0.00,22.48,53.96,18.70,7.76,375.733
44,Apresuntado,128.86,13.45,0.00,6.69,2.86,0.00,942.933
45,Arrozcarreteiro,153.77,10.83,0.00,7.12,11.58,1.50,1621.728
46,"Arroz,integral,cozido",123.53,0.00,2.59,1.00,25.81,2.75,1.245
47,"Arroz,tipo1,cozido",128.26,0.00,2.52,0.23,28.06,1.56,1.201
48,"Arroz,tipo2,cozido",130.12,0.00,2.57,0.36,28.19,1.07,1.960
49,"Atemóia,crua",96.97,0.00,0.97,0.30,25.33,2.14,0.785
50,"Atum,conservaemóleo",165.91,26.19,0.00,6.00,0.00,0.00,362.147
51,"Atum,fresco,cru",117.50,25.68,0.00,0.87,0.00,0.00,30.303
52,AveiaemFlocosNestle,393.82,0.00,15.31,7.66,53.28,9.70,0.000
53,AveiaemFlocosQuaker,393.82,0.00,14.30,7.30,56.60,9.70,0.000
54,"Aveia,flocos,crua",393.82,0.00,13.92,8.50,66.64,9.13,4.627
55,"Azeite,dedendê",884.00,0.00,0.00,100.00,0.00,0.00,0.000
56,"Azeite,deoliva,extravirgem",884.00,0.00,0.00,100.00,0.00,0.00,0.000
57,"Azeitona,preta,conserva",194.15,0.00,1.16,20.35,5.54,4.56,1566.661
58,"Azeitona,verde,conserva",136.94,0.00,0.95,14.22,4.10,3.85,1347.178
59,"Bacalhau,salgado,cru",135.89,29.04,0.00,1.32,0.00,0.00,13585.057
60,"Bacalhau,salgado,refogado",139.66,23.98,0.00,3.61,1.22,0,1256.277
61,"BacardiBigApple(1dose,42g)",0.00,0.00,0.00,8.60,4.20,0.00,0.000
62,Bacon,0.00,18.00,0.00,30.00,0.00,0.00,0.000
63,"Baiãodedois,arrozefeijão-de-corda",135.68,0.00,6.24,3.23,20.42,5.07,93.300
64,"Banana,daterra,crua",128.02,0.00,1.43,0.24,33.67,1.53,0.000
65,"Banana,doceembarra",280.11,0.00,2.17,0.05,75.67,3.83,9.882
66,"Banana,figo,crua",105.08,0.00,1.13,0.14,27.80,2.80,0.000
67,"Banana,maçã,crua",86.81,0.00,1.75,0.06,22.34,2.59,0.000
68,"Banana,nanica,crua",91.53,0.00,1.40,0.12,23.85,1.95,0.000
69,"Banana,ouro,crua",112.37,0.00,1.48,0.21,29.34,1.95,0.000
70,"Banana,pacova,crua",77.91,0.00,1.23,0.08,20.31,2.03,0.939
71,"Banana,prata,crua",98.25,0.00,1.27,0.07,25.96,2.04,0.000
72,Barreado,164.98,18.27,0.00,9.53,0.24,0.15,47.627
73,BatataDoceCozida,0.00,0.00,2.01,0.15,20.71,3.30,0.000
74,BatataDoceCrua,0.00,0.00,1.57,0.05,20.12,3.00,0.000
75,BatataInglesaCozida,0.00,0.00,1.71,0.10,20.01,1.80,0.000
76,BatataInglesaCrua,0.00,0.00,2.57,0.10,12.44,2.50,0.000
77,BatataPalha,0.00,0.00,5.20,40.00,48.00,0.00,0.000
78,"Batata,baroa,cozida",80.12,0.00,0.85,0.17,18.95,1.76,2.098
79,"Batata,baroa,crua",100.98,0.00,1.05,0.17,23.98,2.06,0.000
80,"Batata,doce,cozida",76.76,0.00,0.64,0.09,18.42,2.21,2.699
81,"Batata,doce,crua",118.24,0.00,1.26,0.13,28.20,2.57,8.773
82,"Batata,frita,tipochips,industrializada",542.73,0.00,5.58,36.62,51.22,2.46,607.399
83,"Batata,inglesa,cozida",51.59,0.00,1.16,0.00,11.94,1.34,2.294
84,"Batata,inglesa,crua",64.37,0.00,1.77,0.00,14.69,1.16,0.000
85,"Batata,inglesa,frita",267.16,0.00,4.97,13.11,35.64,8.06,1.913
86,"Batata,inglesa,sauté",67.89,0.00,1.29,0.90,14.09,1.38,8.182
87,"Bebidaisotônica,saboresvariados",25.61,0.00,0.00,0.00,6.40,0.00,44.083
88,"Bebidaláctea,pêssego",55.16,0.00,2.13,1.91,7.57,0.29,46.263
89,BerinjelaCozida,0.00,0.00,0.83,0.23,8.73,2.50,0.000
90,BerinjelaCrua,0.00,0.00,1.00,0.20,5.70,3.40,0.000
91,"Berinjela,cozida",18.85,0.00,0.68,0.15,4.47,2.52,1.325
92,"Berinjela,crua",19.63,0.00,1.22,0.10,4.43,2.87,0.000
93,"Beterraba,cozida",32.15,0.00,1.29,0.09,7.23,1.88,22.762
94,"Beterraba,crua",48.83,0.00,1.95,0.09,11.11,3.37,9.720
95,"Bifeàcavalo,comcontrafilé",291.23,23.66,0.00,21.15,0.00,0.00,82.875
96,BisLimão(unidade),0.00,0.00,0.30,1.52,4.00,0.00,0.000
97,Biscoitodemaizena,0.00,6.67,0.00,10.00,70.00,2.00,0.000
98,BiscoitoNesfit,452,0.0,10.3,12.3,70.0,5.0,0.000
99,"Biscoito,doce,maisena",442.82,0.00,8.07,11.97,75.23,2.10,352.027
100,"Biscoito,doce,recheadocomchocolate",471.82,0.00,6.40,19.58,70.55,2.96,239.200
101,"Biscoito,doce,recheadocommorango",471.17,0.00,5.72,19.57,71.01,1.53,229.817
102,"Biscoito,doce,wafer,recheadodechocolate",502.46,0.00,5.56,24.67,67.54,1.80,137.240
103,"Biscoito,doce,wafer,recheadodemorango",513.45,0.00,4.52,26.40,67.35,0.82,119.900
104,"Biscoito,polvilhodoce",437.55,0.00,1.29,12.25,80.54,1.16,97.801
105,"Biscoito,salgado,creamcracker",431.73,0.00,10.06,14.44,68.73,2.51,854.357
106,Bolinhodearroz,273.51,0.00,8.04,8.29,41.68,2.74,58.857
107,BolodeChocolate,0.00,5.00,0.00,16.00,52.00,1.00,0.000
108,"Bolo,misturapara",418.63,6.16,0.00,6.13,84.71,1.70,462.880
109,"Bolo,pronto,aipim",323.85,4.42,0.00,12.75,47.86,0.69,111.008
110,"Bolo,pronto,chocolate",410.01,6.22,0.00,18.47,54.72,1.43,283.300
111,"Bolo,pronto,coco",333.44,5.67,0.00,11.30,52.28,1.06,190.339
112,"Bolo,pronto,milho",311.39,4.80,0.00,12.42,45.11,0.71,133.811
113,"Brócolis,cozido",24.64,0.00,2.13,0.46,4.37,3.42,2.122
114,"Brócolis,cru",25.50,0.00,3.64,0.27,4.03,2.88,3.333
115,"Cação,posta,comfarinhadetrigo,frita",208.33,24.95,0.00,9.95,3.10,0.54,160.032
116,"Cação,posta,cozida",116.01,25.59,0.00,0.75,0.00,0.00,114.905
117,"Cação,posta,crua",83.33,17.85,0.00,0.79,0.00,0.00,176.024
118,"Cacau,cru",74.29,0.00,0.95,0.14,19.41,2.19,0.700
119,CachorroQuente(unidade),0.00,10.40,0.00,14.50,18.30,0.00,0.000
120,CachorroQuentePeq.(unidade),0.00,4.50,1.40,8.40,19.50,1.10,0.000
121,"Café,infusão10%",9.07,0.00,0.71,0.07,1.48,0.00,1.027
122,"Café,pó,torrado",418.62,0.00,14.70,11.95,65.75,51.23,1.133
123,"Cajá,polpa,congelada",26.33,0.00,0.59,0.17,6.37,1.36,6.945
124,"Cajá-Manga,cru",45.58,0.00,1.28,0.00,11.43,2.58,1.439
125,"Caju,cru",43.07,0.00,0.97,0.33,10.29,1.68,2.967
126,"Caju,polpa,congelada",36.57,0.00,0.48,0.15,9.35,0.81,4.162
127,"Caju,sucoconcentrado,envasado",45.11,0.00,0.40,0.20,10.73,0.63,45.044
128,Calabresa,0.00,18.00,0.00,28.00,1.80,0.00,0.000
129,"Caldodecarne,tablete",240.62,7.82,0.00,16.57,15.05,0.58,22179.667
130,"Caldodegalinha,tablete",251.45,6.28,0.00,20.42,10.65,11.81,22299.900
131,CaldoVerde,0.00,1.56,0.00,1.54,6.49,1.10,0.000
132,Camarãoàbaiana,100.78,7.94,0.00,5.97,3.17,0.39,84.787
133,"Camarão,RioGrande,grande,cozido",90.01,18.97,0.00,1.00,0.00,0.00,366.552
134,"Camarão,RioGrande,grande,cru",47.18,9.99,0.00,0.50,0.00,0.00,201.128
135,"Camarão,SeteBarbas,semcabeça,comcasca,frito",231.25,18.39,0.00,15.62,2.88,0.00,99.055
136,Campari1dose(30ml),0.00,0.00,0.00,5.36,8.10,0.00,0.000
137,"Cana,aguardente1",215.66,0.00,0.00,0.00,0.00,0.00,3.146
138,"Cana,caldode",65.34,0.00,0.00,0.00,18.15,0.14,0.000
139,"Canjica,branca,crua",357.60,0.00,7.20,0.97,78.06,5.50,0.790
140,"Canjica,comleiteintegral",112.46,0.00,2.36,1.24,23.63,1.22,27.587
141,"Capuccino,pó",417.41,11.31,0.00,8.63,73.61,2.44,382.287
142,"Caqui,chocolate,cru",71.35,0.00,0.36,0.07,19.33,6.52,2.183
143,"Cará,cozido",77.58,0.00,1.53,0.11,18.85,2.63,1.006
144,"Cará,cru",95.63,0.00,2.28,0.14,22.95,7.27,0.000
145,"Carambola,crua",45.74,0.00,0.87,0.18,11.48,2.03,4.095
146,"Caranguejo,cozido",82.72,18.48,0.00,0.42,0.00,0.00,360.106
147,Carne2ªAssada,0.00,28.00,0.00,7.00,0.00,0.00,0.000
148,CarneSeca,0.00,26.90,0.00,21.90,0.00,0.00,0.000
149,"Carne,bovina,acém,moído,cozido",212.42,26.69,0.00,10.92,0.00,0.00,52.357
150,"Carne,bovina,acém,moído,cru",136.56,19.42,0.00,5.95,0.00,0.00,48.613
151,"Carne,bovina,acém,semgordura,cozido",214.61,27.27,0.00,10.88,0.00,0.00,56.173
152,"Carne,bovina,acém,semgordura,cru",144.03,20.82,0.00,6.11,0.00,0.00,49.847
153,"Carne,bovina,almôndegas,cruas",189.26,12.31,0.00,11.20,9.79,0,621.252
154,"Carne,bovina,almôndegas,fritas",271.81,18.16,0.00,15.78,14.29,0,1030.256
155,"Carne,bovina,bucho,cozido",133.02,21.64,0.00,4.50,0.00,0.00,38.203
156,"Carne,bovina,bucho,cru",137.30,20.53,0.00,5.50,0.00,0.00,45.003
157,"Carne,bovina,capadecontra-filé,comgordura,crua",216.91,19.20,0.00,14.96,0.00,0.00,57.540
158,"Carne,bovina,capadecontra-filé,comgordura,grelhada",311.70,30.69,0.00,20.03,0.00,0.00,80.513
159,"Carne,bovina,capadecontra-filé,semgordura,crua",131.06,21.54,0.00,4.33,0.00,0.00,79.173
160,"Carne,bovina,capadecontra-filé,semgordura,grelhada",239.44,35.06,0.00,9.95,-0.01,0.00,82.750
161,"Carne,bovina,charque,cozido",262.78,36.36,0.00,11.92,0.00,0.00,1442.701
162,"Carne,bovina,charque,cru",248.86,22.71,0.00,16.84,0.00,0.00,5875.029
163,"Carne,bovina,contra-filédecostela,cru",202.44,19.80,0.00,13.07,0.00,0.00,38.523
164,"Carne,bovina,contra-filédecostela,grelhado",274.91,29.88,0.00,16.33,0.00,0.00,50.883
165,"Carne,bovina,contra-filé,àmilanesa",351.59,20.61,0.00,24.00,12.17,0.37,77.093
166,"Carne,bovina,contra-filé,comgordura,cru",205.86,21.15,0.00,12.81,0.00,0.00,44.133
167,"Carne,bovina,contra-filé,comgordura,grelhado",278.05,32.40,0.00,15.49,0.00,0.00,57.067
168,"Carne,bovina,contra-filé,semgordura,cru",156.62,24.00,0.00,6.00,0.00,0.00,52.893
169,"Carne,bovina,contra-filé,semgordura,grelhado",193.69,35.88,0.00,4.49,0.00,0.00,57.510
170,"Carne,bovina,costela,assada",373.04,28.81,0.00,27.72,0.00,0.00,91.860
171,"Carne,bovina,costela,crua",357.72,16.71,0.00,31.75,0.00,0.00,69.997
172,"Carne,bovina,coxãoduro,semgordura,cozido",216.62,31.88,0.00,8.92,0.00,0.00,41.100
173,"Carne,bovina,coxãoduro,semgordura,cru",147.97,21.51,0.00,6.22,0.00,0.00,48.547
174,"Carne,bovina,coxãomole,semgordura,cozido",218.68,32.38,0.00,8.91,0.00,0.00,43.503
175,"Carne,bovina,coxãomole,semgordura,cru",169.07,21.23,0.00,8.69,0.00,0.00,60.533
176,"Carne,bovina,cupim,assado",330.10,28.63,0.00,23.04,0.00,0.00,71.587
177,"Carne,bovina,cupim,cru",221.40,19.54,0.00,15.30,0.00,0.00,46.860
178,"Carne,bovina,fígado,cru",141.05,20.71,0.00,5.36,1.11,0.00,75.920
179,"Carne,bovina,fígado,grelhado",225.03,29.86,0.00,9.01,4.20,0.00,82.190
180,"Carne,bovina,filémingnon,semgordura,cru",142.86,21.60,0.00,5.61,0.00,0.00,48.860
181,"Carne,bovina,filémingnon,semgordura,grelhado",219.70,32.80,0.00,8.83,0.00,0.00,57.907
182,"Carne,bovina,flanco,semgordura,cozido",195.58,29.38,0.00,7.77,0.00,0.00,41.680
183,"Carne,bovina,flanco,semgordura,cru",141.46,20.00,0.00,6.22,0.00,0.00,54.223
184,"Carne,bovina,fraldinha,comgordura,cozida",338.45,24.24,0.00,26.05,0.00,0.00,38.783
185,"Carne,bovina,fraldinha,comgordura,crua",220.72,17.58,0.00,16.15,0.00,0.00,51.200
186,"Carne,bovina,lagarto,cozido",222.47,32.86,0.00,9.11,0.00,0.00,47.543
187,"Carne,bovina,lagarto,cru",134.86,20.54,0.00,5.23,0.00,0.00,53.557
188,"Carne,bovina,língua,cozida",314.90,21.37,0.00,24.80,0.00,0.00,59.063
189,"Carne,bovina,língua,crua",215.25,17.09,0.00,15.77,0.00,0.00,73.050
190,"Carne,bovina,maminha,crua",152.77,20.93,0.00,7.03,0.00,0.00,37.417
191,"Carne,bovina,maminha,grelhada",153.09,30.74,0.00,2.42,0.00,0.00,58.120
192,"Carne,bovina,miolodealcatra,semgordura,cru",162.87,21.61,0.00,7.83,0.00,0.00,43.053
193,"Carne,bovina,miolodealcatra,semgordura,grelhado",241.36,31.93,0.00,11.64,0.00,0.00,51.620
194,"Carne,bovina,músculo,semgordura,cozido",193.80,31.23,0.00,6.70,0.00,0.00,61.790
195,"Carne,bovina,músculo,semgordura,cru",141.58,21.56,0.00,5.49,0.00,0.00,66.080
196,"Carne,bovina,paleta,comgordura,crua",158.71,21.41,0.00,7.46,0.00,0.00,64.900
197,"Carne,bovina,paleta,semgordura,cozida",193.65,29.72,0.00,7.40,0.00,0.00,57.623
198,"Carne,bovina,paleta,semgordura,crua",140.94,21.03,0.00,5.67,0.00,0.00,65.860
199,"Carne,bovina,patinho,semgordura,cru",133.47,21.72,0.00,4.51,0.00,0.00,49.130
200,"Carne,bovina,patinho,semgordura,grelhado",219.26,35.90,0.00,7.31,0.00,0.00,60.293
201,"Carne,bovina,peito,semgordura,cozido",338.47,22.25,0.00,26.99,0.00,0.00,55.707
202,"Carne,bovina,peito,semgordura,cru",259.28,17.56,0.00,20.43,0.00,0.00,63.763
203,"Carne,bovina,picanha,comgordura,crua",212.88,18.82,0.00,14.69,0.00,0.00,37.623
204,"Carne,bovina,picanha,comgordura,grelhada",288.77,26.42,0.00,19.51,0.00,0.00,60.000
205,"Carne,bovina,picanha,semgordura,crua",133.52,21.25,0.00,4.74,0.00,0.00,61.147
206,"Carne,bovina,picanha,semgordura,grelhada",238.47,31.91,0.00,11.33,0.00,0.00,60.657
207,"Carne,bovina,seca,cozida",312.80,26.93,0.00,21.93,0.00,0.00,1943.179
208,"Carne,bovina,seca,crua",312.75,19.66,0.00,25.37,0.00,0.00,4439.550
209,CarréGrelhado,0.00,27.32,0.00,13.92,0.00,0.00,0.000
210,"Caruru,cru",34.03,0.00,3.20,0.59,5.97,4.47,13.665
211,CasquinhaMcDonalds(Unidade),0.00,3.20,0.00,6.20,39.00,0.30,0.000
212,"Castanha-de-caju,torrada,salgada",570.17,0.00,18.51,46.28,29.13,3.66,125.000
213,"Castanha-do-Brasil,crua",642.96,0.00,14.54,63.46,15.08,7.93,0.654
214,"Catalonha,crua",23.89,0.00,1.87,0.28,4.75,2.05,9.394
215,"Catalonha,refogada",63.45,0.00,1.95,4.81,4.81,3.65,24.719
216,CebolaCrua,0.00,0.00,0.92,0.08,10.11,1.40,0.000
217,"Cebola,crua",39.42,0.00,1.71,0.08,8.85,2.19,0.597
218,"Cebolinha,crua",19.52,0.00,1.87,0.35,3.37,3.55,1.603
219,CenouraCozida,0.00,0.00,0.76,0.18,8.22,3.00,0.000
220,CenouraCrua,0.00,0.00,0.93,0.24,9.58,2.80,0.000
221,"Cenoura,cozida",29.86,0.00,0.85,0.22,6.69,2.63,7.881
222,"Cenoura,crua",34.14,0.00,1.32,0.17,7.66,3.18,3.333
223,"Cereais,milho,flocos,comsal",369.60,0.00,7.29,1.60,80.84,5.29,271.738
224,"Cereais,milho,flocos,semsal",363.34,0.00,6.88,1.18,80.45,1.84,30.970
225,"Cereais,mingau,milho,infantil",394.43,0.00,6.43,1.09,87.27,3.21,399.403
226,"Cereais,misturaparavitamina,trigo,cevadaeaveia",381.13,0.00,8.90,2.12,81.62,4.98,1163.257
227,"Cerealmatinal,milho",365.35,0.00,7.16,0.96,83.82,4.12,654.543
228,"Cerealmatinal,milho,açúcar",376.56,0.00,4.74,0.67,88.84,2.11,405.313
229,Cerveja(Latinha375ml),0.00,0.00,2.25,10.57,12.38,0.00,0.000
230,"Cerveja,pilsen2",40.72,0.00,0.56,0.00,3.32,0.00,4.230
231,"Chá,erva-doce,infusão5%",1.40,0.00,0.00,0.00,0.39,0.00,0.625
232,"Chá,mate,infusão5%",2.73,0.00,0.00,0.05,0.64,0.00,0.000
233,"Chá,preto,infusão5%",2.25,0.00,0.00,0.00,0.63,0.00,0.000
234,"Chantilly,spray,comgorduravegetal",314.96,0.00,0.53,27.27,16.86,0.00,109.704
